INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "hi_from_fileobserver"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.302111, acc = 0.1250:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.300327, acc = 0.1289:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.254737, acc = 0.1378:  11%|█         | 43/391 [00:01<00:11, 30.91it/s]
Epoch 0 train | loss = 2.251107, acc = 0.1382:  11%|█         | 43/391 [00:01<00:11, 30.91it/s]
Epoch 0 train | loss = 2.249631, acc = 0.1379:  11%|█         | 43/391 [00:01<00:11, 30.91it/s]
Epoch 0 train | loss = 2.246356, acc = 0.1390:  11%|█         | 43/391 [00:01<00:11, 30.91it/s]
Epoch 0 train | loss = 2.246356, acc = 0.1390:  12%|█▏        | 47/391 [00:01<00:11, 31.18it/s]
Epoch 0 train | loss = 2.243804, acc = 0.1392:  12%|█▏        | 47/391 [00:01<00:11, 31.18it/s]
Epoch 0 train | loss = 2.239608, acc = 0.1405:  12%|█▏        | 47/391 [00:01<00:11, 31.18it/s]
Epoch 0 train | loss = 2.237648, acc = 0.1409:  12%|█▏        | 47/391 [00:01<00:11, 31.18it/s]
Epoch 0 train | loss = 2.234270, acc = 0.1419:  12%|█▏        | 47/391 [00:01<00:11, 31.18it/s]
Epoch 0 train | loss = 2.234270, acc = 0.1419:  13%|█▎        | 51/391 [00:01<00:10, 31.31it/s]
Epoch 0 train | loss = 2.231082, acc = 0.1426:  13%|█▎        | 51/391 [00:01<00:10, 31.31it/s]
Epoch 0 train | loss = 2.228181, acc = 0.1448:  13%|█▎        | 51/391 [00:01<00:10, 31.31it/s]
Epoch 0 train | loss = 2.226717, acc = 0.1451:  13%|█▎        | 51/391 [00:01<00:10, 31.31it/s]
Epoch 0 train | loss = 2.225478, acc = 0.1452:  13%|█▎        | 51/391 [00:01<00:10, 31.31it/s]
Epoch 0 train | loss = 2.225478, acc = 0.1452:  14%|█▍        | 55/391 [00:01<00:10, 31.39it/s]
Epoch 0 train | loss = 2.220771, acc = 0.1472:  14%|█▍        | 55/391 [00:01<00:10, 31.39it/s]
Epoch 0 train | loss = 2.216737, acc = 0.1486:  14%|█▍        | 55/391 [00:01<00:10, 31.39it/s]
Epoch 0 train | loss = 2.214145, acc = 0.1491:  14%|█▍        | 55/391 [00:01<00:10, 31.39it/s]
Epoch 0 train | loss = 2.210073, acc = 0.1511:  14%|█▍        | 55/391 [00:01<00:10, 31.39it/s]
Epoch 0 train | loss = 2.210073, acc = 0.1511:  15%|█▌        | 59/391 [00:01<00:10, 31.41it/s]
Epoch 0 train | loss = 2.207238, acc = 0.1523:  15%|█▌        | 59/391 [00:02<00:10, 31.41it/s]
Epoch 0 train | loss = 2.206266, acc = 0.1532:  15%|█▌        | 59/391 [00:02<00:10, 31.41it/s]
Epoch 0 train | loss = 2.202922, acc = 0.1545:  15%|█▌        | 59/391 [00:02<00:10, 31.41it/s]
Epoch 0 train | loss = 2.199437, acc = 0.1562:  15%|█▌        | 59/391 [00:02<00:10, 31.41it/s]
Epoch 0 train | loss = 2.199437, acc = 0.1562:  16%|█▌        | 63/391 [00:02<00:10, 31.47it/s]
Epoch 0 train | loss = 2.195599, acc = 0.1578:  16%|█▌        | 63/391 [00:02<00:10, 31.47it/s]
Epoch 0 train | loss = 2.191245, acc = 0.1596:  16%|█▌        | 63/391 [00:02<00:10, 31.47it/s]
Epoch 0 train | loss = 2.192257, acc = 0.1607:  16%|█▌        | 63/391 [00:02<00:10, 31.47it/s]
Epoch 0 train | loss = 2.190695, acc = 0.1617:  16%|█▌        | 63/391 [00:02<00:10, 31.47it/s]
Epoch 0 train | loss = 2.190695, acc = 0.1617:  17%|█▋        | 67/391 [00:02<00:10, 31.57it/s]
Epoch 0 train | loss = 2.190870, acc = 0.1626:  17%|█▋        | 67/391 [00:02<00:10, 31.57it/s]
Epoch 0 train | loss = 2.189081, acc = 0.1635:  17%|█▋        | 67/391 [00:02<00:10, 31.57it/s]
Epoch 0 train | loss = 2.187919, acc = 0.1640:  17%|█▋        | 67/391 [00:02<00:10, 31.57it/s]
Epoch 0 train | loss = 2.187146, acc = 0.1644:  17%|█▋        | 67/391 [00:02<00:10, 31.57it/s]
Epoch 0 train | loss = 2.187146, acc = 0.1644:  18%|█▊        | 71/391 [00:02<00:10, 31.56it/s]
Epoch 0 train | loss = 2.186603, acc = 0.1646:  18%|█▊        | 71/391 [00:02<00:10, 31.56it/s]
Epoch 0 train | loss = 2.186309, acc = 0.1648:  18%|█▊        | 71/391 [00:02<00:10, 31.56it/s]
Epoch 0 train | loss = 2.185441, acc = 0.1646:  18%|█▊        | 71/391 [00:02<00:10, 31.56it/s]
Epoch 0 train | loss = 2.183362, acc = 0.1650:  18%|█▊        | 71/391 [00:02<00:10, 31.56it/s]
Epoch 0 train | loss = 2.183362, acc = 0.1650:  19%|█▉        | 75/391 [00:02<00:10, 31.60it/s]
Epoch 0 train | loss = 2.181777, acc = 0.1659:  19%|█▉        | 75/391 [00:02<00:10, 31.60it/s]
Epoch 0 train | loss = 2.184061, acc = 0.1657:  19%|█▉        | 75/391 [00:02<00:10, 31.60it/s]
Epoch 0 train | loss = 2.183687, acc = 0.1652:  19%|█▉        | 75/391 [00:02<00:10, 31.60it/s]
Epoch 0 train | loss = 2.183142, acc = 0.1652:  19%|█▉        | 75/391 [00:02<00:10, 31.60it/s]
Epoch 0 train | loss = 2.183142, acc = 0.1652:  20%|██        | 79/391 [00:02<00:09, 31.66it/s]
Epoch 0 train | loss = 2.181240, acc = 0.1651:  20%|██        | 79/391 [00:02<00:09, 31.66it/s]
Epoch 0 train | loss = 2.179445, acc = 0.1652:  20%|██        | 79/391 [00:02<00:09, 31.66it/s]
